time,pfc_flux,temperature,desorption_rate
34.239037304742,3.2246668754029e-11,573.912298437936,2.031540131503827e+18
35.19875442953099,3.2075132157537e-11,581.590035436248,2.0207333259248312e+18
36.254443266799,3.1661914492878e-11,590.035546134392,1.9947006130513142e+18
37.415700987793,3.0855587412021e-11,599.325607902344,1.943902006957323e+18
38.69308448088702,2.9503030355521e-11,609.5446758470962,1.858690912397823e+18
40.098206323290015,2.7485812174118e-11,620.7856505863201,1.731606166969434e+18
41.64384034993299,2.4770227421507e-11,633.1507227994639,1.5605243275549412e+18
43.34403777924098,2.1453239070531e-11,646.7523022339278,1.351554061443453e+18
45.21425495147997,1.7773071714455e-11,661.7140396118398,1.1197035180106651e+18
47.27149384094298,1.4059853644917e-11,678.1719507275438,8.85770779629771e+17
49.534456619350976,1.0638356906265e-11,696.2756529548078,6.70216485094695e+17
